included,reason,rel_path,abs_path,ext,size_bytes,mtime_iso
0,ext_not_included,coverage/pos_20260217_polar_p95.png,E:\output\coverage\pos_20260217_polar_p95.png,.png,256362,2026-02-28T15:43:24
0,ext_not_included,coverage/pos_20260218_polar_p95.png,E:\output\coverage\pos_20260218_polar_p95.png,.png,254130,2026-02-28T15:43:24
0,ext_not_included,coverage/pos_20260219_polar_p95.png,E:\output\coverage\pos_20260219_polar_p95.png,.png,250928,2026-02-28T15:43:25
0,ext_not_included,coverage/pos_20260220_polar_p95.png,E:\output\coverage\pos_20260220_polar_p95.png,.png,252926,2026-02-28T15:43:26
0,ext_not_included,coverage/pos_20260221_polar_p95.png,E:\output\coverage\pos_20260221_polar_p95.png,.png,264363,2026-02-28T15:43:26
0,ext_not_included,coverage/pos_20260222_polar_p95.png,E:\output\coverage\pos_20260222_polar_p95.png,.png,258890,2026-02-28T15:43:27
0,ext_not_included,coverage/pos_20260223_polar_p95.png,E:\output\coverage\pos_20260223_polar_p95.png,.png,246014,2026-02-28T15:43:28
0,ext_not_included,coverage/pos_20260224_polar_p95.png,E:\output\coverage\pos_20260224_polar_p95.png,.png,270107,2026-02-28T15:43:28
0,ext_not_included,coverage/pos_20260225_polar_p95.png,E:\output\coverage\pos_20260225_polar_p95.png,.png,259383,2026-02-28T15:43:29
0,ext_not_included,coverage/pos_20260226_polar_p95.png,E:\output\coverage\pos_20260226_polar_p95.png,.png,255287,2026-02-28T15:43:30
0,ext_not_included,coverage/pos_20260227_polar_p95.png,E:\output\coverage\pos_20260227_polar_p95.png,.png,241062,2026-02-28T15:43:30
0,ext_not_included,coverage/pos_20260228_polar_p95.png,E:\output\coverage\pos_20260228_polar_p95.png,.png,261038,2026-02-28T15:43:29
1,ok,fringe_decoding/fringe_decoding_stats.csv,E:\output\fringe_decoding\fringe_decoding_stats.csv,.csv,2032,2026-02-28T15:43:15
1,ok,fringe_decoding/fringe_decoding_trend.csv,E:\output\fringe_decoding\fringe_decoding_trend.csv,.csv,1011,2026-02-24T03:11:43
0,ext_not_included,fringe_decoding/fringe_decoding_trend_report.png,E:\output\fringe_decoding\fringe_decoding_trend_report.png,.png,175974,2026-02-28T15:45:16
1,ok,fringe_decoding/statistical_report.txt,E:\output\fringe_decoding\statistical_report.txt,.txt,749,2026-02-28T15:45:16
1,ok,heatmaps/pos_20260124_alt_heatmap.html,E:\output\heatmaps\pos_20260124_alt_heatmap.html,.html,21498,2026-02-28T15:44:31
1,ok,heatmaps/pos_20260124_heatmap.html,E:\output\heatmaps\pos_20260124_heatmap.html,.html,19190,2026-02-28T15:44:48
1,ok,heatmaps/pos_20260125_alt_heatmap.html,E:\output\heatmaps\pos_20260125_alt_heatmap.html,.html,627187,2026-02-28T15:44:45
1,ok,heatmaps/pos_20260125_heatmap.html,E:\output\heatmaps\pos_20260125_heatmap.html,.html,628933,2026-02-28T15:45:02
1,ok,heatmaps/pos_20260126_alt_heatmap.html,E:\output\heatmaps\pos_20260126_alt_heatmap.html,.html,644194,2026-02-28T15:44:45
1,ok,heatmaps/pos_20260126_heatmap.html,E:\output\heatmaps\pos_20260126_heatmap.html,.html,647246,2026-02-28T15:45:02
1,ok,heatmaps/pos_20260127_alt_heatmap.html,E:\output\heatmaps\pos_20260127_alt_heatmap.html,.html,678581,2026-02-28T15:44:46
1,ok,heatmaps/pos_20260127_heatmap.html,E:\output\heatmaps\pos_20260127_heatmap.html,.html,682722,2026-02-28T15:45:03
1,ok,heatmaps/pos_20260128_alt_heatmap.html,E:\output\heatmaps\pos_20260128_alt_heatmap.html,.html,54514,2026-02-28T15:44:31
1,ok,heatmaps/pos_20260128_heatmap.html,E:\output\heatmaps\pos_20260128_heatmap.html,.html,52212,2026-02-28T15:44:49
1,ok,heatmaps/pos_20260211_alt_heatmap.html,E:\output\heatmaps\pos_20260211_alt_heatmap.html,.html,29932,2026-02-28T15:44:31
