minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445078,20251225,2025-12-25,RTL-SDR,Unknown,16,13,165.223,84.687,0,0.0,0.0,3.6688341009663143,0,0.0,3.894748057043088,0,0.0,4.82098370839189,0,0.0,0.6154341335987078,0,0.0,0.0,0,
29445079,20251225,2025-12-25,RTL-SDR,Unknown,16,14,180.434,81.552,0,0.0,0.0,4.341623767288966,0,0.0,4.98033037371035,0,0.0,3.9958876777646912,0,0.0,0.682158181235992,0,0.0,0.0,0,
29445080,20251225,2025-12-25,RTL-SDR,Unknown,16,16,197.59,89.13,0,0.0,0.0,4.166710069896562,0,0.0,4.528571883357415,0,0.0,5.744254622556177,0,0.0,1.5604634241898463,0,0.0,0.0,0,
29445081,20251225,2025-12-25,RTL-SDR,Unknown,18,15,212.508,90.964,0,0.0,0.0,4.585921831433742,0,0.0,4.534825056533063,0,0.0,4.305091054203121,0,0.0,1.3565256435761763,0,0.0,0.21763641425389724,0,
29445082,20251225,2025-12-25,RTL-SDR,Unknown,18,15,158.361,85.873,0,0.0,0.0,4.417481446577924,0,0.0,4.653683704265022,0,0.0,5.205898487616817,0,0.0,0.7229363615402368,0,0.0,0.0,0,
29445083,20251225,2025-12-25,RTL-SDR,Unknown,17,11,140.054,77.25,0,0.0,0.0,3.2518210197710715,0,0.0,5.304184444917175,0,0.0,2.443994535311753,0,0.0,0.0,0,,0.0,0,
29445084,20251225,2025-12-25,RTL-SDR,Unknown,17,13,142.709,90.04,0,0.0,0.0,3.313790466479735,0,0.0,3.4486911781605,0,0.0,6.237518355359765,0,0.0,0.0,0,,0.0,0,
29445084,20251225,2025-12-25,RTL-SDR,Unknown,16,13,142.709,90.271,0,0.0,0.0,3.297483766233766,0,0.0,3.4363058231358012,0,0.0,6.266210410630433,0,0.0,0.0,0,,0.0,0,
29445084,20251225,2025-12-25,RTL-SDR,Unknown,16,14,136.888,90.048,0,0.0,0.0,3.5264838940442726,0,0.0,3.66553159284301,0,0.0,6.807984513112718,0,0.0,0.0,0,,0.0,0,
29445085,20251225,2025-12-25,RTL-SDR,Unknown,18,15,136.668,90.757,0,0.0,0.0,3.654080389768575,0,0.0,3.654080389768575,0,0.0,7.69183922046285,0,0.0,0.0,0,,0.0,0,
29445086,20251225,2025-12-25,RTL-SDR,Unknown,18,15,145.342,89.577,0,0.0,0.0,3.7671783331993893,0,0.0,3.836076301182593,0,0.0,7.396745365618019,0,0.0,0.0,0,,0.0,0,
29445087,20251225,2025-12-25,RTL-SDR,Unknown,19,12,161.919,85.607,0,0.0,0.0,3.581533612692955,0,0.0,3.820907869470981,0,0.0,3.3287060588196717,0,0.0,1.2688524590163923,0,0.0,0.0,0,
29445088,20251225,2025-12-25,RTL-SDR,Unknown,17,12,163.109,84.016,0,0.0,0.0,3.27485890816204,0,0.0,4.267216055091267,0,0.0,3.644643283039407,0,0.0,0.8132817537072863,0,0.0,0.0,0,
29445089,20251225,2025-12-25,RTL-SDR,Unknown,16,12,166.264,80.448,0,0.0,0.0,3.642987249544627,0,0.0,4.368943748251558,0,0.0,3.259769262281838,0,0.0,0.7282997399219773,0,0.0,0.0,0,
29445090,20251225,2025-12-25,RTL-SDR,Unknown,19,16,148.783,80.383,0,0.0,0.0,4.603150856761453,0,0.0,5.239163460086238,0,0.0,6.157685683152309,0,0.0,0.0,0,,0.0,0,
29445091,20251225,2025-12-25,RTL-SDR,Unknown,20,14,119.196,68.719,0,0.0,0.0,5.605381165919282,0,0.0,4.70920999416241,0,0.0,3.685408839918308,0,0.0,0.0,0,,0.0,0,
29445092,20251225,2025-12-25,RTL-SDR,Unknown,20,14,122.773,66.486,0,0.0,0.0,5.568194473169258,0,0.0,5.7127502020986185,0,0.0,2.719055324732124,0,0.0,0.0,0,,0.0,0,
29445093,20251225,2025-12-25,RTL-SDR,Unknown,23,18,208.691,85.312,0,0.0,0.0,5.90326516155269,0,0.0,5.818466556934919,0,0.0,3.382361838684303,0,0.0,2.6147150850253063,0,0.0,0.2811913578027818,0,
29445094,20251225,2025-12-25,RTL-SDR,Unknown,22,19,190.641,83.735,0,0.0,0.0,7.057215445644584,0,0.0,5.318983806096415,0,0.0,5.541417688515267,0,0.0,1.0823830597437347,0,0.0,0.0,0,
29445095,20251225,2025-12-25,RTL-SDR,Unknown,22,20,158.398,81.396,0,0.0,0.0,7.219799578363704,0,0.0,5.831609711036851,0,0.0,6.484817792552173,0,0.0,0.4637729180472716,0,,0.0,0,
29445096,20251225,2025-12-25,RTL-SDR,Unknown,25,20,148.058,80.564,0,0.0,0.0,7.380836396380438,0,0.0,5.676177572800177,0,0.0,6.942986030819385,0,0.0,0.0,0,,0.0,0,
29445097,20251225,2025-12-25,RTL-SDR,Unknown,24,17,156.917,84.787,0,0.0,0.0,6.113788390994749,0,0.0,4.517083126389548,0,0.0,4.869177310740702,0,0.0,1.4999511718750003,0,0.0,0.0,0,
29445098,20251225,2025-12-25,RTL-SDR,Unknown,20,16,160.818,80.026,0,0.0,0.0,6.829434864264982,0,0.0,3.520136961289376,0,0.0,4.137175162397449,0,0.0,1.5132530120481924,0,0.0,0.0,0,
29445099,20251225,2025-12-25,RTL-SDR,Unknown,18,17,172.831,84.607,0,0.0,0.0,6.017699115044247,0,0.0,4.42612036616274,0,0.0,4.112584540303416,0,0.0,2.4435959784895953,0,0.0,0.0,0,
29445100,20251225,2025-12-25,RTL-SDR,Unknown,20,18,180.839,85.546,0,0.0,0.0,5.681100871102134,0,0.0,6.131568240797332,0,0.0,4.030227669454585,0,0.0,2.1571032186459487,0,0.0,0.0,0,
29445101,20251225,2025-12-25,RTL-SDR,Unknown,18,17,203.228,88.846,0,0.0,0.0,4.941170999395434,0,0.0,5.156576796777432,0,0.0,4.294248885642038,0,0.0,2.508057957022382,0,0.0,0.09994536116271435,0,
